code,sector
01262,包装食品
01263,电脑及周边器材
01265,燃气供应
01266,钢铁
01268,汽车零售商
01269,汽车零件
01270,酒店及度假村
01271,楼宇建造
01272,环保工程
01273,信贷
01274,系统开发及资讯科技顾问
01276,药品
01277,煤炭
01278,地产发展商
01280,家居装修零售商
01281,非传统/可再生能源
01282,证券及经纪
01283,楼宇建造
01284,广告及宣传
01285,包装食品
01286,工业零件及器材
01288,银行
01289,工业零件及器材
01290,信贷
01292,航空货运及物流
01293,汽车零售商
01298,医疗设备及用品
01299,保险
01300,电讯设备
01301,重型机械
01302,医疗设备及用品
01303,煤炭
01304,半导体
01305,工业零件及器材
01308,航运及港口
01310,电讯服务
01312,药品
01313,建筑材料
01314,餐饮
01315,建筑材料
01316,汽车零件
01317,教育
01318,其他零售商
01319,信贷
01321,地产发展商
01323,建筑材料
01326,影视娱乐
01327,珠宝钟表
01328,其他支援服务
01329,地产发展商
01330,环保工程
01332,印刷及包装
01334,油气设备与服务
01335,非传统/可再生能源
01336,保险
01338,个人护理
01339,保险
01340,禽畜肉类
01341,重型机械
01343,重型基建
01345,药品分销
01346,服装
01347,半导体
01348,玩具及消闲用品
01349,生物技术
01351,广告及宣传
01354,物业服务及管理
01355,酒店及度假村
01357,电子商贸及互联网服务
01358,医疗设备及用品
01359,投资及资产管理
01360,广告及宣传
01361,鞋类
01362,电讯设备
01364,非酒精饮料
01368,鞋类
01370,钢铁
01371,赌场及博彩
01372,重型基建
01373,家居装修零售商
01375,证券及经纪
01376,楼宇建造
01378,铝
01379,地产投资
01380,其他金属及矿物
01381,非传统/可再生能源
01382,纺织品及布料
01383,酒店及度假村
01384,数码解决方案服务
01385,半导体
01387,地产投资
01388,服装
01389,酒精饮料
01393,煤炭
01395,水务
01396,地产发展商
01397,其他支援服务
01398,银行
01399,能源储存装置
01400,纺织品及布料
01401,电子零件
01402,系统开发及资讯科技顾问
01405,餐饮
01406,医疗及医学美容服务
01407,油气生产商
01408,楼宇建造
01410,系统开发及资讯科技顾问
01412,印刷及包装
01413,楼宇建造
01415,电子零件
01416,楼宇建造
01417,物业服务及管理
01418,家具
01419,医疗及医学美容服务
01420,楼宇建造
01421,重型基建
01425,服装
01427,楼宇建造
01428,证券及经纪
01429,楼宇建造
01431,乳制品
01432,乳制品
01433,印刷及包装
01439,印刷及包装
01440,纺织品及布料
01442,航空货运及物流
01443,餐饮
01446,非酒精饮料
01447,楼宇建造
01448,其他支援服务
01449,教育
01450,系统开发及资讯科技顾问
01451,印刷及包装
01452,环保工程
01455,个人护理
01456,证券及经纪
01458,包装食品
01459,楼宇建造
01460,系统开发及资讯科技顾问
01461,证券及经纪
01463,其他支援服务
01466,其他零售商
01468,综合企业
01469,证券及经纪
01470,化肥及农用化合物
01471,保险
01472,重型基建
01473,电讯设备
01475,包装食品
01476,证券及经纪
01477,生物技术
01478,电子零件
01480,电子零件
01481,纸及纸制品
01483,其他支援服务
01486,楼宇建造
01488,餐饮
01489,建筑材料
01490,广告及宣传
01495,楼宇建造
01496,重型基建
01497,包装食品
01498,药品
01499,楼宇建造
01500,楼宇建造
01501,医疗设备及用品
01502,物业服务及管理
01508,保险
01513,药品
01515,医疗及医学美容服务
01516,物业服务及管理
01518,医疗及医学美容服务
01519,航空货运及物流
01520,服装
01521,生物技术
01522,系统开发及资讯科技顾问
01523,电脑及周边器材
01525,教育
01526,医疗及医学美容服务
01527,环保工程
01528,地产投资
01529,航空货运及物流
01530,药品
01532,服装
01536,工业零件及器材
01538,物业服务及管理
01539,环保工程
01540,印刷及包装
01541,生物技术
01542,水务
01543,信贷
01545,家居装修零售商
01546,楼宇建造
01547,楼宇建造
01548,生物技术
01549,航运及港口
01551,银行
01552,楼宇建造
01553,钢铁
01555,油气生产商
01556,楼宇建造
01557,重型基建
01558,药品
01559,重型基建
01560,地产发展商
01561,特殊化工用品
01563,教育
01565,教育
01566,消闲及文娱设施
01568,楼宇建造
01569,教育
01570,地产发展商
01571,汽车零件
01572,信贷
01575,家具
01576,铁路及公路
01577,信贷
01578,银行
01579,食品添加剂
01580,林业及木材
01581,楼宇建造
01582,楼宇建造
01583,包装食品
01585,汽车
01586,其他支援服务
01587,食品添加剂
01588,应用软件
01591,楼宇建造
01592,建筑材料
01593,教育
01596,商业用车及货车
01597,环保工程
01598,教育
01599,楼宇建造
01600,燃气供应
01601,信贷
01606,信贷
01608,常规电力
01610,禽畜肉类
01611,电子商贸及互联网服务
01612,医疗设备及用品
01613,系统开发及资讯科技顾问
01615,楼宇建造
01616,影视娱乐
01617,电讯设备
01618,重型基建
01620,旅游及观光
01621,油气生产商
01622,地产发展商
01623,油气设备与服务
01626,印刷及包装
01627,楼宇建造
01628,地产发展商
01629,印刷及包装
01630,楼宇建造
01631,印刷及包装
01632,系统开发及资讯科技顾问
01633,楼宇建造
01635,燃气供应
01636,铜
01637,楼宇建造
01638,地产发展商
01640,广告及宣传
01641,地产投资
01643,中医药
01645,工业零件及器材
01647,楼宇建造
01650,其他支援服务
01651,工业零件及器材
01652,中医药
01653,建筑材料
01655,赌场及博彩
01656,工业零件及器材
01657,服装
01658,银行
01660,重型机械
01661,消闲及文娱设施
01662,重型基建
01663,地产发展商
01665,系统开发及资讯科技顾问
01666,中医药
01667,楼宇建造
01668,地产发展商
01669,信贷
01671,常规电力
01672,生物技术
01673,工业零件及器材
01675,应用软件
01676,包装食品
01679,应用软件
01680,赌场及博彩
01681,药品
01682,服装
01683,楼宇建造
01685,环保工程
01686,系统开发及资讯科技顾问
01689,印刷及包装
01690,楼宇建造
01691,家庭电器
01692,家庭电器
01693,楼宇建造
01695,食品添加剂
01696,医疗设备及用品
01697,投资及资产管理
01698,影视娱乐
01699,禽畜肉类
01701,旅游及观光
01702,化肥及农用化合物
01703,餐饮
01705,包装食品
01706,重型基建
01707,重型基建
01708,系统开发及资讯科技顾问
01709,证券及经纪
01710,工业零件及器材
01711,家居装修零售商
01712,黄金及贵金属
01713,常规电力
01715,家具
01716,广告及宣传
01717,乳制品
01718,重型基建
01719,航运及港口
01720,电讯设备
01721,钢铁
01722,楼宇建造
01723,多元化零售商
01725,电子零件
01726,医疗设备及用品
01727,楼宇建造
01728,汽车零售商
01729,电讯设备
01730,地产投资
01731,其他服饰配件
01732,航运及港口
01733,煤炭
01735,楼宇建造
01736,电子商贸及互联网服务
01737,航空货运及物流
01738,煤炭
01739,电子商贸及互联网服务
01740,影视娱乐
01741,楼宇建造
01742,楼宇建造
01745,应用软件
01746,楼宇建造
01747,消费电子产品
01748,航运及港口
01749,服装
01750,工业零件及器材
01751,楼宇建造
01752,教育
01753,广告及宣传
01755,物业服务及管理
01756,教育
01757,重型基建
01758,教育
01759,燃气供应
01760,汽车零件
01761,广告及宣传
01762,广告及宣传
01763,药品
01765,教育
01766,商业用车及货车
01767,包装食品
01768,包装食品
01769,教育
01771,汽车零售商
01772,其他金属及矿物
01773,教育
01775,教育
01776,证券及经纪
01777,地产发展商
01778,物业服务及管理
01780,楼宇建造
01782,系统开发及资讯科技顾问
01783,楼宇建造
01785,铁路及公路
01786,重型机械
01787,黄金及贵金属
01788,证券及经纪
01789,医疗设备及用品
01790,水务
01792,玩具及消闲用品
01793,楼宇建造
01795,纺织品及布料
01796,楼宇建造
01797,电子商贸及互联网服务
01798,非传统/可再生能源
01799,新能源物料
01800,重型基建
01801,药品
01802,楼宇建造
01803,消闲及文娱设施
01808,系统开发及资讯科技顾问
01809,汽车零件
01810,电讯设备
01811,非传统/可再生能源
01812,纸及纸制品
01813,地产发展商
01815,其他零售商
01816,核能
01817,服装零售商
01818,黄金及贵金属
01820,印刷及包装
01821,投资及资产管理
01822,林业及木材
01823,酒精饮料
01825,服装
01826,楼宇建造
01827,医疗及医学美容服务
01828,保险
01830,医疗及医学美容服务
01831,广告及宣传
01832,酒店及度假村
01833,医疗及医学美容服务
01835,投资及资产管理
01836,鞋类
01837,包装食品
01841,印刷及包装
01842,其他服饰配件
01843,餐饮
01845,环保工程
01846,医疗及医学美容服务
01847,建筑材料
01848,航空服务
01849,广告及宣传
01850,楼宇建造
01851,教育
01853,非传统/可再生能源
01854,农产品
01855,楼宇建造
01856,珠宝钟表
01857,水务
01858,医疗设备及用品
01859,广播
01860,广告及宣传
01861,特殊化工用品
01862,地产发展商
01863,特殊化工用品
01865,重型基建
01866,化肥及农用化合物
01867,楼宇建造
01868,家具
01869,餐饮
01870,楼宇建造
01871,教育
01872,汽车零售商
01873,生物技术
01875,生物技术
01876,酒精饮料
01877,生物技术
01878,煤炭
01880,旅游及观光
01882,工业零件及器材
01883,电讯服务
01884,印刷及包装
01888,工业零件及器材
01889,药品
01890,教育
01891,其他金属及矿物
01894,建筑材料
01895,物业服务及管理
01896,影视娱乐
01897,楼宇建造
01898,煤炭
01899,商业用车及货车
01900,系统开发及资讯科技顾问
01901,旅游及观光
01902,地产发展商
01903,航运及港口
01905,信贷
01906,服装
01907,特殊化工用品
01908,地产发展商
01909,游戏软件
01910,其他服饰配件
01911,投资及资产管理
01912,半导体
01913,其他服饰配件
01915,信贷
01916,银行
01917,广告及宣传
01918,地产发展商
01919,航运及港口
